ts,symbol,exchange,bid,ask,mid
2024-10-01 09:30:00.000,BTC-USD,Coinbase,30007.480449055056,30009.424807982945,30008.452628519
2024-10-01 09:30:00.000,BTC-USD,Gemini,30008.03213403912,30009.93001640214,30008.981075220632
2024-10-01 09:30:00.100,BTC-USD,Coinbase,30005.549485313724,30006.69639801887,30006.122941666297
2024-10-01 09:30:00.100,BTC-USD,Gemini,30005.405695523845,30005.87461783539,30005.64015667962
2024-10-01 09:30:00.200,BTC-USD,Coinbase,30005.49842889384,30007.075656075544,30006.28704248469
2024-10-01 09:30:00.200,BTC-USD,Gemini,30004.93821390828,30007.292200910902,30006.11520740959
2024-10-01 09:30:00.300,BTC-USD,Coinbase,30007.949817041997,30008.699430757348,30008.324623899673
2024-10-01 09:30:00.300,BTC-USD,Gemini,30008.767400363315,30009.213940294754,30008.990670329033
2024-10-01 09:30:00.400,BTC-USD,Coinbase,30003.43400926954,30005.326008243548,30004.380008756543
2024-10-01 09:30:00.400,BTC-USD,Gemini,30004.0364898401,30005.96988067961,30005.003185259855
2024-10-01 09:30:00.500,BTC-USD,Coinbase,30004.04618901945,30004.734484222696,30004.390336621072
2024-10-01 09:30:00.500,BTC-USD,Gemini,30005.023238040616,30003.80117226418,30004.412205152395
2024-10-01 09:30:00.600,BTC-USD,Coinbase,30003.629406145967,30005.1423632376,30004.385884691783
2024-10-01 09:30:00.600,BTC-USD,Gemini,30002.661408961823,30005.86215205698,30004.2617805094
2024-10-01 09:30:00.700,BTC-USD,Gemini,29996.129245032756,29994.92050161348,29995.52487332312
2024-10-01 09:30:00.700,BTC-USD,Coinbase,29995.342280681565,29995.882245638546,29995.612263160056
2024-10-01 09:30:00.800,BTC-USD,Gemini,30000.04245612682,30002.40109865045,30001.221777388637
2024-10-01 09:30:00.800,BTC-USD,Coinbase,29999.802344163923,30001.598762212823,30000.700553188373
2024-10-01 09:30:00.900,BTC-USD,Gemini,30004.050933427312,30003.619429969553,30003.835181698432
2024-10-01 09:30:00.900,BTC-USD,Coinbase,30003.161855847266,30004.24423568868,30003.703045767972
2024-10-01 09:30:01.000,BTC-USD,Gemini,29999.853003063417,30001.672514861057,30000.762758962235
2024-10-01 09:30:01.000,BTC-USD,Coinbase,29999.854918797377,30001.296882998904,30000.57590089814
2024-10-01 09:30:01.100,BTC-USD,Coinbase,29999.018651713486,30000.417667470836,29999.71815959216
2024-10-01 09:30:01.100,BTC-USD,Gemini,29998.753944203385,29999.573904970803,29999.163924587094
